Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
PID-2861-2_R1	(1.0, 57.91181824699001)	(2.0, 22.37484395289929)	(3.0, 9.454404298933902)	(4.0, 4.1023494879996605)	(5.0, 2.0190440270182615)	(6.0, 1.0550911544393555)	(7.0, 0.5409351371845702)	(8.0, 0.36789899707938223)	(9.0, 0.2564439026854991)	('>10', 1.451296093302156)	('>50', 0.23105121833933542)	('>100', 0.23482348312854903)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-2_R2	(1.0, 59.23730572988819)	(2.0, 21.41278134574356)	(3.0, 8.972805453936362)	(4.0, 4.069715736306001)	(5.0, 1.911712762616248)	(6.0, 1.0369222838002081)	(7.0, 0.549498321427411)	(8.0, 0.3075980956206401)	(9.0, 0.24012909382300412)	('>10', 1.3152955798999226)	('>50', 0.23576949245186232)	('>100', 0.2107423737094523)	('>500', 0.0)	('>1k', 0.49972373077718635)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-30_R1	(1.0, 59.059495541394135)	(2.0, 22.179788188689486)	(3.0, 9.02059723315538)	(4.0, 4.152443967898647)	(5.0, 1.9231667068148366)	(6.0, 1.0628052664625216)	(7.0, 0.6545066908615276)	(8.0, 0.39020892749249236)	(9.0, 0.22589482829562915)	('>10', 1.3073671811612504)	('>50', 0.0237254677741106)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-30_R2	(1.0, 59.41394820885753)	(2.0, 21.664352261993653)	(3.0, 9.075545227471196)	(4.0, 4.077678302681657)	(5.0, 1.9374836521542946)	(6.0, 1.0650725022229004)	(7.0, 0.5954873257562039)	(8.0, 0.39887419460667994)	(9.0, 0.25024957093130157)	('>10', 1.166331996270569)	('>50', 0.046283022452715206)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.3086937346012914)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-31_R1	(1.0, 67.59327229974815)	(2.0, 20.583263172714148)	(3.0, 7.054949342301822)	(4.0, 2.670838428046081)	(5.0, 1.1338600450469112)	(6.0, 0.4655658321841499)	(7.0, 0.22249511010747303)	(8.0, 0.10415038805769211)	(9.0, 0.05958595758873904)	('>10', 0.11201942420483273)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-31_R2	(1.0, 69.19819003029404)	(2.0, 19.448179002512088)	(3.0, 6.5737964942280165)	(4.0, 2.497170084959215)	(5.0, 0.9230872971123122)	(6.0, 0.41980042031192116)	(7.0, 0.206167476018428)	(8.0, 0.10378074977855925)	(9.0, 0.04912688829458695)	('>10', 0.06553815169353995)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.5151634047972806)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-32_R1	(1.0, 58.30678174952551)	(2.0, 23.14955020185287)	(3.0, 9.759559628379206)	(4.0, 4.439076198517906)	(5.0, 1.9885890220004445)	(6.0, 1.0000805138682436)	(7.0, 0.524660256271289)	(8.0, 0.2670154224112359)	(9.0, 0.20731015685722873)	('>10', 0.35737685031610816)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-32_R2	(1.0, 60.09699625785311)	(2.0, 22.185492420947032)	(3.0, 9.199103154771517)	(4.0, 4.074327311021319)	(5.0, 1.9284331731099489)	(6.0, 0.8333218560737663)	(7.0, 0.5669188673640257)	(8.0, 0.2659079152461379)	(9.0, 0.20132275631729513)	('>10', 0.3080955474331826)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.3400807398626221)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-33_R1	(1.0, 50.829997846296216)	(2.0, 23.655136989389675)	(3.0, 11.65082903107474)	(4.0, 5.89190767261154)	(5.0, 3.190892058307209)	(6.0, 1.6831426645163465)	(7.0, 1.0596277382823374)	(8.0, 0.6121556461465335)	(9.0, 0.4074828642253548)	('>10', 1.0188274891500548)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-33_R2	(1.0, 52.84456538950496)	(2.0, 22.861043831070713)	(3.0, 10.961598934367267)	(4.0, 5.599257859974355)	(5.0, 2.9489073010437448)	(6.0, 1.5932994846566784)	(7.0, 0.9065953244124675)	(8.0, 0.573362817938487)	(9.0, 0.3634458219448329)	('>10', 0.9089968096694947)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.4389264254169782)	('>5k', 0.0)	('>10k+', 0.0)
