strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
VU,stat,82501,-0.696865,323.5,260.5,0.31248233971399936,0.645698969276394,0.9412563256715453,1,Not significant
VU,stat,83501,-0.696387,301,233,0.3694335321054217,0.4546687225952777,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,84501,-0.695909,322.5,260,0.310787537282162,0.6264929584027555,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,85501,-0.69543,287,235,0.28838998011068817,0.6632937472510536,0.9412563256715453,1,Not significant
VU,stat,86501,-0.694952,282,246.5,0.19410751602088208,0.746798619364647,0.9412563256715453,1,Not significant
VU,stat,87501,-0.694474,303.5,230.5,0.39692976582634404,0.5827961910475821,0.9412563256715453,1,Not significant
VU,stat,88501,-0.693995,406.5,315,0.36790352368774903,0.6106758833926179,0.9412563256715453,1,Not significant
VU,stat,89501,-0.693517,387.5,324,0.2582024972769753,0.7219047782125266,0.9412563256715453,1,Not significant
VU,stat,90501,-0.693039,471,367.5,0.3579828098890565,0.6212119682183475,0.9412563256715453,1,Not significant
VU,stat,91501,-0.692561,393.5,326.5,0.2692806439610555,0.6898828515458687,0.9412563256715453,1,Not significant
VU,stat,92501,-0.692082,402.5,310,0.3767205677277417,0.5544731183851948,0.9412563256715453,1,Not significant
VU,stat,93501,-0.691604,473.5,340,0.47782967933068315,0.48059458176155234,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,94501,-0.691126,419.5,326,0.3637988462087457,0.6561680165323845,0.9412563256715453,1,Not significant
VU,stat,95501,-0.690647,395,332,0.2506694117175404,0.7378925190284278,0.9412563256715453,1,Not significant
VU,stat,96501,-0.690169,442,353,0.32437818612025116,0.5686066283085056,0.9412563256715453,1,Not significant
VU,stat,97501,-0.689691,445,327,0.44451470035567753,0.5081302281908111,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,98501,-0.689213,434.5,284.5,0.6109275245078183,0.41116268633793623,0.9412563256715453,0.3333333333333333,Not significant
VU,stat,99501,-0.688734,470,366.5,0.3588475584311879,0.6199054646196418,0.9412563256715453,1,Not significant
VU,stat,100501,-0.688256,427,361,0.24223723273331943,0.6221470378756448,0.9412563256715453,1,Not significant
VU,stat,101501,-0.687778,447.5,327.5,0.4503927757268061,0.508931624665671,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,102501,-0.687299,298,229.5,0.3768181770483535,0.486372934887907,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,103501,-0.686821,348.5,282.5,0.3029077885658731,0.6112039711013344,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,104501,-0.686343,403.5,332,0.2813854319308556,0.7035804047611879,0.9412563256715453,1,Not significant
VU,stat,105501,-0.685864,305.5,322,-0.07588830829588739,0.9078811621319806,0.9731012120801427,1,Not significant
VU,stat,106501,-0.685386,393.5,319,0.3028072117426171,0.6960514946874672,0.9412563256715453,1,Not significant
VU,stat,107501,-0.684908,403.5,315,0.3572168448905014,0.6340489077310814,0.9412563256715453,1,Not significant
VU,stat,108501,-0.68443,453.5,348.5,0.3799438946600993,0.5892549656108749,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,109501,-0.683951,391.5,301,0.3792488205313386,0.5990638536418157,0.9412563256715453,0.6666666666666667,Not significant
