strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,category
VU,stat,318501,-0.583989,406.5,279.5,0.5404070692318377,No substantial change
VU,stat,319501,-0.583511,447,341,0.39050309215914525,No substantial change
VU,stat,320501,-0.583033,375,302,0.31234204605816435,No substantial change
VU,stat,321501,-0.582554,458,375.5,0.28653469058267206,No substantial change
VU,stat,322501,-0.582076,610,498,0.2926635003821676,No substantial change
VU,stat,323501,-0.581598,649.5,522,0.31527971887799655,No substantial change
VU,stat,324501,-0.581119,377,358.5,0.0725914045667595,No substantial change
VU,stat,325501,-0.580641,438,339,0.36964559646482953,No substantial change
VU,stat,326501,-0.580163,465,344,0.43482215129329577,No substantial change
VU,stat,327501,-0.579685,391.5,314.5,0.31595229041175155,No substantial change
VU,stat,328501,-0.579206,483,363.5,0.4100678249161787,No substantial change
VU,stat,329501,-0.578728,329.5,243.5,0.4363566929257095,No substantial change
VU,stat,330501,-0.57825,299.5,266,0.1711297572875962,No substantial change
VU,stat,331501,-0.577771,422,317.5,0.410486407047657,No substantial change
VU,stat,332501,-0.577293,385.5,288,0.420662048472722,No substantial change
VU,stat,333501,-0.576815,413,298,0.47082945095728385,No substantial change
VU,stat,334501,-0.576337,345.5,290.5,0.25014754698372965,No substantial change
VU,stat,335501,-0.575858,318,267,0.25218702359680145,No substantial change
VU,stat,336501,-0.57538,379,391.5,-0.04681445911994893,No substantial change
VU,stat,337501,-0.574902,411.5,374.5,0.13592671196287473,No substantial change
VU,stat,338501,-0.574423,358.5,270,0.4090137116510738,No substantial change
VU,stat,339501,-0.573945,358,298.5,0.26222865599945133,No substantial change
VU,stat,340501,-0.573467,376,272,0.46712601042729796,No substantial change
VU,stat,341501,-0.572989,333,246,0.43686386173202235,No substantial change
VU,stat,342501,-0.57251,386,299.5,0.3660448444792947,No substantial change
VU,stat,343501,-0.572032,359,280,0.358557016878085,No substantial change
VU,stat,344501,-0.571554,347,271,0.35664281122438934,No substantial change
VU,stat,345501,-0.571075,326,273.5,0.2533311314385209,No substantial change
VU,stat,346501,-0.570597,324,248.5,0.3827479613223387,No substantial change
VU,stat,347501,-0.570119,333,256.5,0.37656335146420816,No substantial change
VU,stat,348501,-0.569641,349,253.5,0.46124128920631163,No substantial change
VU,stat,349501,-0.569162,400,300.5,0.41263500906353917,No substantial change
VU,stat,350501,-0.568684,439.5,350,0.3285082433110753,No substantial change
VU,stat,351501,-0.568206,361.5,277.5,0.3815078757136495,No substantial change
VU,stat,352501,-0.567727,373.5,305.5,0.28993586297050744,No substantial change
VU,stat,353501,-0.567249,423,296,0.5150604874909999,No substantial change
VU,stat,354501,-0.566771,439.5,327.5,0.42436825871859135,No substantial change
VU,stat,355501,-0.566293,428.5,330,0.3768291798666842,No substantial change
VU,stat,356501,-0.565814,374,271.5,0.4620860720832752,No substantial change
VU,stat,357501,-0.565336,470.5,369,0.3505739066681407,No substantial change
VU,stat,358501,-0.564858,343.5,331,0.05347888201088237,No substantial change
VU,stat,359501,-0.564379,325,382,-0.23313292011993186,No substantial change
VU,stat,360501,-0.563901,370.5,351.5,0.07594885323329842,No substantial change
VU,stat,361501,-0.563423,250.5,297,-0.2456523276055574,No substantial change
VU,stat,362501,-0.562945,256,300,-0.22881869049588077,No substantial change
VU,stat,363501,-0.562466,299,290.5,0.041607320793576326,No substantial change
VU,stat,364501,-0.561988,303.5,307.5,-0.018889893970920217,No substantial change
VU,stat,365501,-0.56151,321.5,357.5,-0.1531245043378044,No substantial change
VU,stat,366501,-0.561031,367,414,-0.17385070465611238,No substantial change
VU,stat,367501,-0.560553,276,333.5,-0.27301849440641596,No substantial change
VU,stat,368501,-0.560075,375,389,-0.05287955960294874,No substantial change
VU,stat,369501,-0.559597,420,405,0.05246741989413548,No substantial change
VU,stat,370501,-0.559118,343,351.5,-0.03531611289972302,No substantial change
VU,stat,371501,-0.55864,290.5,304.5,-0.06790406450180363,No substantial change
VU,stat,372501,-0.558162,330,382,-0.21110661378993295,No substantial change
VU,stat,373501,-0.557683,328,349.5,-0.09159664075735265,No substantial change
VU,stat,374501,-0.557205,276,268,0.04243526632039674,No substantial change
VU,stat,375501,-0.556727,283,307.5,-0.11978435739471996,No substantial change
VU,stat,376501,-0.556249,290.5,327.5,-0.17295674302028377,No substantial change
VU,stat,377501,-0.55577,258,315,-0.28798076296402475,No substantial change
VU,stat,378501,-0.555292,256.5,304,-0.24511249783653147,No substantial change
VU,stat,379501,-0.554814,294,344.5,-0.22868782786792688,No substantial change
VU,stat,380501,-0.554335,341,340,0.004236992886470694,No substantial change
VU,stat,381501,-0.553857,330,318,0.053439258961460415,No substantial change
VU,stat,382501,-0.553379,482.5,323.5,0.5767632301629353,No substantial change
VU,stat,383501,-0.552901,312.5,346,-0.1469158480872753,No substantial change
