strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,category
mff,stat,232501,-0.879041,248.5,278.5,-0.16443147577774553,No substantial change
mff,stat,233501,-0.878519,272.5,341,-0.3235155093598838,No substantial change
mff,stat,234501,-0.877998,244.5,317,-0.37464837518717353,No substantial change
mff,stat,235501,-0.877477,201.5,280.5,-0.47722093208082544,No substantial change
mff,stat,236501,-0.876955,249.5,288,-0.20702899610505188,No substantial change
mff,stat,237501,-0.876434,294,359.5,-0.2901756156029335,No substantial change
mff,stat,238501,-0.875912,236,289.5,-0.2947764886273954,No substantial change
mff,stat,239501,-0.875391,238.5,311,-0.382925314125091,No substantial change
mff,stat,240501,-0.87487,307.5,401.5,-0.38481357729071236,No substantial change
mff,stat,241501,-0.874348,409.5,446.5,-0.12479672348021427,No substantial change
mff,stat,242501,-0.873827,402.5,460,-0.19264507794239588,No substantial change
mff,stat,243501,-0.873306,318,400,-0.33097323449036925,No substantial change
mff,stat,244501,-0.872784,355.5,434.5,-0.28950661719498483,No substantial change
mff,stat,245501,-0.872263,264,309.5,-0.22940147985581127,No substantial change
mff,stat,246501,-0.871741,296.5,338,-0.1889911417361807,No substantial change
mff,stat,247501,-0.87122,252,342,-0.4405725913859815,No substantial change
mff,stat,248501,-0.870699,297,331.5,-0.1585459393118219,No substantial change
mff,stat,249501,-0.870177,345.5,421.5,-0.2868469205538237,No substantial change
mff,stat,250501,-0.869656,310,331.5,-0.09674065483835018,No substantial change
mff,stat,251501,-0.869135,276.5,276,0.00261121345653783,No substantial change
mff,stat,252501,-0.868613,229,302,-0.399200951228135,No substantial change
mff,stat,253501,-0.868092,254,292.5,-0.20360812769860098,No substantial change
mff,stat,254501,-0.86757,265,322.5,-0.2833068008600549,No substantial change
mff,stat,255501,-0.867049,245,307,-0.32545690636760877,No substantial change
mff,stat,256501,-0.866528,290,312,-0.10549312884731384,No substantial change
mff,stat,257501,-0.866006,239.5,301.5,-0.33213234616390447,No substantial change
mff,stat,258501,-0.865485,279,371.5,-0.4130970887094086,No substantial change
mff,stat,259501,-0.864964,331,424,-0.35723304775598147,No substantial change
mff,stat,260501,-0.864442,286,349.5,-0.2892773085970471,No substantial change
mff,stat,261501,-0.863921,301,368.5,-0.29190113233536774,No substantial change
mff,stat,262501,-0.863399,265,286.5,-0.11254277930634327,No substantial change
mff,stat,263501,-0.862878,282.5,339.5,-0.26516070694218163,No substantial change
mff,stat,264501,-0.862357,268.5,356.5,-0.40897998845847544,No substantial change
mff,stat,265501,-0.861835,285.5,383.5,-0.42573583214009053,No substantial change
mff,stat,266501,-0.861314,317.5,424.5,-0.4190079618935103,No substantial change
mff,stat,267501,-0.860792,304.5,404.5,-0.4096974745236451,No substantial change
mff,stat,268501,-0.860271,288.5,358.5,-0.31340180005642215,No substantial change
mff,stat,269501,-0.85975,288.5,329,-0.1895162650897589,No substantial change
mff,stat,270501,-0.859228,218,317,-0.5401547053624808,No substantial change
mff,stat,271501,-0.858707,232,306.5,-0.4017622685632094,No substantial change
mff,stat,272501,-0.858186,276,342,-0.3093280581077289,No substantial change
mff,stat,273501,-0.857664,265,332,-0.32519088189636314,No substantial change
mff,stat,274501,-0.857143,333.5,409.5,-0.29617669045642364,No substantial change
mff,stat,275501,-0.856621,329,427.5,-0.37783683603801865,No substantial change
mff,stat,276501,-0.8561,373,445.5,-0.2562498012666843,No substantial change
mff,stat,277501,-0.855579,307,356,-0.2136385855962183,No substantial change
mff,stat,278501,-0.855057,293,328,-0.1627951501958358,No substantial change
mff,stat,279501,-0.854536,330,414.5,-0.3289060772499346,No substantial change
mff,stat,280501,-0.854015,289.5,375,-0.3733272473940066,No substantial change
mff,stat,281501,-0.853493,269.5,332.5,-0.3030690676360465,No substantial change
mff,stat,282501,-0.852972,310,377,-0.28229630799442673,No substantial change
mff,stat,283501,-0.85245,350.5,381,-0.12037655348269888,No substantial change
mff,stat,284501,-0.851929,389.5,424.5,-0.12414122549136937,No substantial change
mff,stat,285501,-0.851408,331.5,388.5,-0.2289057282951224,No substantial change
mff,stat,286501,-0.850886,343,420.5,-0.2938972240823319,No substantial change
mff,stat,287501,-0.850365,431.5,491,-0.18636246513573804,No substantial change
mff,stat,288501,-0.849844,272.5,353.5,-0.3754539851451102,No substantial change
mff,stat,289501,-0.849322,400,530.5,-0.40735275114004016,No substantial change
mff,stat,290501,-0.848801,332.5,406,-0.28812538679662425,No substantial change
mff,stat,291501,-0.848279,288.5,347.5,-0.2684416589653873,No substantial change
mff,stat,292501,-0.847758,270,335.5,-0.3133533591493527,No substantial change
mff,stat,293501,-0.847237,266,332,-0.3197569958457352,No substantial change
mff,stat,294501,-0.846715,256.5,280.5,-0.12904194500173882,No substantial change
mff,stat,295501,-0.846194,246,324.5,-0.3995601626598987,No substantial change
mff,stat,296501,-0.845673,259,353.5,-0.44875811712284497,No substantial change
mff,stat,297501,-0.845151,312,402.5,-0.367442754139731,No substantial change
mff,stat,298501,-0.84463,292.5,329.5,-0.17184184053728485,No substantial change
mff,stat,299501,-0.844108,241.5,283,-0.22877886399610922,No substantial change
mff,stat,300501,-0.843587,228.5,293.5,-0.3611663380519824,No substantial change
mff,stat,301501,-0.843066,250,322,-0.3651325934525299,No substantial change
mff,stat,302501,-0.842544,232.5,304,-0.3868406074481918,No substantial change
mff,stat,303501,-0.842023,194.5,263.5,-0.4380328066510227,No substantial change
mff,stat,304501,-0.841502,201.5,296.5,-0.5572522660180363,No substantial change
mff,stat,305501,-0.84098,245.5,324,-0.4002707885699316,No substantial change
mff,stat,306501,-0.840459,243.5,298,-0.29139055837981936,No substantial change
mff,stat,307501,-0.839937,260.5,317.5,-0.28547321938101994,No substantial change
mff,stat,308501,-0.839416,340,382.5,-0.16992500144231246,No substantial change
mff,stat,309501,-0.838895,290.5,339.5,-0.224873410840203,No substantial change
mff,stat,310501,-0.838373,272.5,371.5,-0.4471059808743076,No substantial change
mff,stat,311501,-0.837852,323.5,364.5,-0.17215310233442957,No substantial change
mff,stat,312501,-0.837331,218,279,-0.3559369870522611,No substantial change
mff,stat,313501,-0.836809,229.5,271,-0.23979869794006367,No substantial change
mff,stat,314501,-0.836288,223.5,288,-0.3657939802589947,No substantial change
mff,stat,315501,-0.835766,234.5,294,-0.32622823232098774,No substantial change
mff,stat,316501,-0.835245,258,316,-0.2925534927538488,No substantial change
mff,stat,317501,-0.834724,282,363.5,-0.36626020152080074,No substantial change
mff,stat,318501,-0.834202,260,345,-0.40808473863707684,No substantial change
mff,stat,319501,-0.833681,250,365,-0.5459683691052926,No substantial change
mff,stat,320501,-0.83316,235,327,-0.47662987893308295,No substantial change
mff,stat,321501,-0.832638,314,380,-0.2752348594393208,No substantial change
mff,stat,322501,-0.832117,344.5,448.5,-0.3806040022149699,No substantial change
mff,stat,323501,-0.831595,346,394.5,-0.18925326237673387,No substantial change
mff,stat,324501,-0.831074,244.5,303.5,-0.31186205130344835,No substantial change
mff,stat,325501,-0.830553,250.5,311,-0.3121039769353942,No substantial change
mff,stat,326501,-0.830031,228,297,-0.38142910663602425,No substantial change
mff,stat,327501,-0.82951,235,286,-0.2833543902133897,No substantial change
mff,stat,328501,-0.828989,229.5,322.5,-0.49080500689680856,No substantial change
mff,stat,329501,-0.828467,212,280.5,-0.4039365060455938,No substantial change
mff,stat,330501,-0.827946,249.5,297.5,-0.2538498528580453,No substantial change
mff,stat,331501,-0.827424,282.5,377,-0.4163136559661143,No substantial change
mff,stat,332501,-0.826903,257,350.5,-0.4476460848167451,No substantial change
mff,stat,333501,-0.826382,232.5,286.5,-0.3013044227615111,No substantial change
mff,stat,334501,-0.82586,226.5,295,-0.3812039042029685,No substantial change
mff,stat,335501,-0.825339,297.5,333.5,-0.1647970929892792,No substantial change
mff,stat,336501,-0.824818,274.5,360,-0.39119075732447617,No substantial change
mff,stat,337501,-0.824296,295.5,369,-0.32046268588286364,No substantial change
mff,stat,338501,-0.823775,323,420.5,-0.3805716355612194,No substantial change
mff,stat,339501,-0.823253,262.5,309.5,-0.23762198666077966,No substantial change
mff,stat,340501,-0.822732,229.5,298,-0.3768181770483537,No substantial change
mff,stat,341501,-0.822211,265.5,300.5,-0.17865312990703183,No substantial change
mff,stat,342501,-0.821689,350.5,422.5,-0.26953689715892354,No substantial change
mff,stat,343501,-0.821168,261.5,354,-0.4369384138360561,No substantial change
mff,stat,344501,-0.820647,286.5,382.5,-0.4169246088231092,No substantial change
mff,stat,345501,-0.820125,242,342.5,-0.5010969405732946,No substantial change
mff,stat,346501,-0.819604,255,320.5,-0.3298271097598831,No substantial change
mff,stat,347501,-0.819082,216,308.5,-0.5142391769859492,No substantial change
mff,stat,348501,-0.818561,233,258.5,-0.14983432566065435,No substantial change
mff,stat,349501,-0.81804,242,289.5,-0.25855630071464203,No substantial change
mff,stat,350501,-0.817518,327.5,374,-0.19154336346282413,No substantial change
mff,stat,351501,-0.816997,246,335.5,-0.44765445086094363,No substantial change
mff,stat,352501,-0.816475,232.5,302.5,-0.37970442616656314,No substantial change
mff,stat,353501,-0.815954,322.5,374.5,-0.2156665581481346,No substantial change
mff,stat,354501,-0.815433,286.5,328,-0.19516067586117875,No substantial change
mff,stat,355501,-0.814911,248.5,310,-0.31902236371195136,No substantial change
