strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
mff,stat,175501,-0.908759,313.5,376.5,-0.26418442186988916,0.30681568406842497,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,176501,-0.908238,301.5,370,-0.2953672686162273,0.4183165491414135,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,177501,-0.907716,255.5,303,-0.2459945025353295,0.43499072922076687,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,178501,-0.907195,249,313.5,-0.33231970073395795,0.30409215213384555,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,179501,-0.906674,272.5,343,-0.33195234650852373,0.2785742166896198,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,180501,-0.906152,238.5,294,-0.30182688883085296,0.4068114103603282,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,181501,-0.905631,202.5,280,-0.4675049191729794,0.2733944145333097,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,182501,-0.905109,256,321.5,-0.32867492732794734,0.3203193579487684,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,183501,-0.904588,251,300,-0.25727513654510886,0.43301124942947644,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,184501,-0.904067,218.5,284.5,-0.3807953728059835,0.4246199462417817,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,185501,-0.903545,202.5,284,-0.487969021732695,0.21972357394759814,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,186501,-0.903024,206,294.5,-0.5156232966472423,0.2543396317138235,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,187501,-0.902503,224.5,252,-0.16670828875876945,0.580028379919195,0.6603305387515889,1,Not significant
mff,stat,188501,-0.901981,237,280.5,-0.24311371171053367,0.6002502687227627,0.6695099151138507,0.6666666666666666,Not significant
mff,stat,189501,-0.90146,240,306,-0.35049724708413327,0.45029908767494814,0.6491329038022193,0.41421617824252505,Not significant
mff,stat,190501,-0.900938,237,331,-0.4819441579089585,0.2501272843709321,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,191501,-0.900417,257,306,-0.25176329349877363,0.5933469572783592,0.6666242245572594,0.6666666666666666,Not significant
mff,stat,192501,-0.899896,255,358.5,-0.49147587184304686,0.2033821115051839,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,193501,-0.899374,323,372,-0.20376845641410649,0.42446313620188975,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,194501,-0.898853,322,413.5,-0.3608266410566577,0.22997012027194813,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,195501,-0.898332,243.5,323,-0.40761239261158266,0.3264449578546494,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,196501,-0.89781,258,292,-0.17859730345676314,0.5051844113795477,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,197501,-0.897289,241,314,-0.38173141266166527,0.31945240088358595,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,198501,-0.896767,225.5,283,-0.32767461957650135,0.09260916421778044,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,199501,-0.896246,255.5,323.5,-0.34044242105488615,0.41426794085471286,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,200501,-0.895725,299,361,-0.271853352689066,0.4981606299464949,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,201501,-0.895203,262.5,312.5,-0.25153876699596445,0.2267322095036014,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,202501,-0.894682,258,327.5,-0.3441238410015584,0.3881319648912699,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,203501,-0.894161,258.5,318.5,-0.3011290919413658,0.4383832528522592,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,204501,-0.893639,301,343,-0.1884450894131103,0.21606613951210543,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,205501,-0.893118,287,342.5,-0.2550532511722012,0.4048426057037916,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,206501,-0.892596,359,412.5,-0.2004102753101267,0.6313421576617921,0.6849751623351709,0.6666666666666666,Not significant
mff,stat,207501,-0.892075,332.5,370,-0.15417093012776012,0.6259257713804274,0.6827694694808317,1,Not significant
mff,stat,208501,-0.891554,388,446,-0.20098705773317713,0.5407313591613979,0.651291632474818,1,Not significant
mff,stat,209501,-0.891032,342.5,410.5,-0.2612782339299158,0.39424334305681574,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,210501,-0.890511,294.5,359.5,-0.287724136608837,0.5115848874816366,0.6503465388653931,0.6666666666666666,Not significant
mff,stat,211501,-0.88999,298.5,327.5,-0.13376397516000763,0.698529684462605,0.7288689799269763,1,Not significant
mff,stat,212501,-0.889468,227,283,-0.31810975554096727,0.3650524829733809,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,213501,-0.888947,258,314.5,-0.2856889514560351,0.6125259547026324,0.676743800426254,0.6666666666666666,Not significant
mff,stat,214501,-0.888425,273.5,330,-0.27092519145325933,0.5132898862143236,0.6503465388653931,0.6666666666666666,Not significant
mff,stat,215501,-0.887904,267,355,-0.41097928270449047,0.2875256321700362,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,216501,-0.887383,303,339.5,-0.1640937807717808,0.674011274657341,0.7122360236584558,1,Not significant
mff,stat,217501,-0.886861,295.5,363,-0.29681141781821835,0.21591741657577979,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,218501,-0.88634,319,363.5,-0.18839894015472491,0.5969937198158703,0.6687827498542029,0.6666666666666666,Not significant
mff,stat,219501,-0.885819,259,320.5,-0.30737225893218706,0.33717934841843206,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,220501,-0.885297,284.5,351.5,-0.30509603676595337,0.23689732992083684,0.6491329038022193,0.3333333333333333,Not significant
