strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
Lac-4,stat,853501,-0.292539,433,438,-0.016563844874448466,0.945093271823705,0.9913046107799296,1,Not significant
Lac-4,stat,854501,-0.29171,348.5,388.5,-0.15675594253928693,0.6201564609250189,0.9794297259474823,0.6666666666666666,Not significant
Lac-4,stat,855501,-0.290881,332,367.5,-0.14656100837680194,0.4921752015799906,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,856501,-0.290053,341.5,372.5,-0.12535484705943337,0.5654812420981423,0.9788484046992368,0.6666666666666666,Not significant
Lac-4,stat,857501,-0.289224,358,377,-0.07460493600440789,0.6155731292067563,0.9788484046992368,0.6666666666666666,Not significant
Lac-4,stat,858501,-0.288395,329.5,355,-0.10754055938399269,0.6422916584718378,0.9797836373613166,0.6666666666666666,Not significant
Lac-4,stat,859501,-0.287567,339.5,345.5,-0.025274136143526707,0.8959794275657557,0.9913046107799296,1,Not significant
Lac-4,stat,860501,-0.286738,368,354,0.05595640597401539,0.8084702086276605,0.9913046107799296,1,Not significant
Lac-4,stat,861501,-0.285909,334.5,362,-0.11398348644174436,0.6876253353855122,0.9805138400119019,1,Not significant
Lac-4,stat,862501,-0.28508,397.5,466,-0.22937509448256257,0.22056905713933128,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,863501,-0.284252,398,428,-0.10484236585749804,0.41426333180989494,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,864501,-0.283423,354.5,375.5,-0.08302728027475564,0.6156793076598386,0.9788484046992368,1,Not significant
Lac-4,stat,865501,-0.282594,361,421,-0.22182139617922514,0.3918019890464409,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,866501,-0.281766,357,419,-0.23102616967025183,0.3479460441400959,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,867501,-0.280937,379,411.5,-0.11869458225053392,0.6839603117489785,0.9805138400119019,1,Not significant
Lac-4,stat,868501,-0.280108,335.5,374.5,-0.15865295225856757,0.3842458704410948,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,869501,-0.279279,346.5,397,-0.19628365500574405,0.2570102553324982,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,870501,-0.278451,365.5,425,-0.2175914350726268,0.4543985050109379,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,871501,-0.277622,340.5,369.5,-0.11791956613407985,0.3241870409501986,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,872501,-0.276793,372,408,-0.13326653086346424,0.46352412825709777,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,873501,-0.275964,332.5,366.5,-0.14045885774526,0.6990860789533004,0.9815749457145458,1,Not significant
Lac-4,stat,874501,-0.275136,371,399.5,-0.10677631630717356,0.7332976601476564,0.9889014148103115,1,Not significant
Lac-4,stat,875501,-0.274307,408.5,391.5,0.06132377085464286,0.8201088338281495,0.9913046107799296,1,Not significant
Lac-4,stat,876501,-0.273478,362,454,-0.32670260020770964,0.1296530444485439,0.9756484734232224,0.22067136191984676,Not significant
Lac-4,stat,877501,-0.27265,425.5,471,-0.1465679279268205,0.23862671390263168,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,878501,-0.271821,334,379.5,-0.18425178294141417,0.43790328293376624,0.9756484734232224,0.41421617824252505,Not significant
Lac-4,stat,879501,-0.270992,373,424,-0.18488863430796132,0.3337312294052657,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,880501,-0.270163,383,397.5,-0.05361046824676061,0.8563539752470185,0.9913046107799296,1,Not significant
Lac-4,stat,881501,-0.269335,396,448,-0.17799830197799454,0.54626928818306,0.9788484046992368,0.6666666666666666,Not significant
Lac-4,stat,882501,-0.268506,307.5,321,-0.06198688689570083,0.7038048554611536,0.9822901462914174,0.6666666666666666,Not significant
Lac-4,stat,883501,-0.267677,370.5,435,-0.23154185843025676,0.13560090222217008,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,884501,-0.266849,376.5,386,-0.03595098259615221,0.8797024700798368,0.9913046107799296,1,Not significant
Lac-4,stat,885501,-0.26602,369.5,358,0.04561477688189461,0.9129796352526349,0.9913046107799296,1,Not significant
Lac-4,stat,886501,-0.265191,306,319,-0.06002477107221759,0.7049612400890815,0.9822901462914174,0.6666666666666666,Not significant
Lac-4,stat,887501,-0.264362,280,313.5,-0.16303861585707255,0.43323249561961485,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,888501,-0.263534,329.5,352.5,-0.09734479227810414,0.6642930323546339,0.9797836373613166,1,Not significant
Lac-4,stat,889501,-0.262705,435,460.5,-0.08218575535524496,0.29619609348717996,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,890501,-0.261876,468.5,565,-0.2702018196433632,0.11466588675378209,0.9756484734232224,0.3333333333333333,Not significant
