strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
AB30,stat,3143501,-0.026348,283.5,286,-0.012666411836160596,0.9700871126834052,0.9811802908681163,1,Not significant
AB30,stat,3144501,-0.026038,304,311,-0.03284325668701704,0.6991799323791785,0.7940895772880923,0.6666666666666666,Not significant
AB30,stat,3145501,-0.025728,379,354,0.0984484880880942,0.14085327350170515,0.36006964907719813,0.3333333333333333,Not significant
AB30,stat,3146501,-0.025418,284,276.5,0.038611449269974965,0.7491020664178476,0.8299179276585347,0.6666666666666667,Not significant
AB30,stat,3147501,-0.025108,422,425.5,-0.011916132978777538,0.8733664023446506,0.9173127714885204,1,Not significant
AB30,stat,3148501,-0.024799,348.5,358.5,-0.040814462833481585,0.7784660697062722,0.850913479472127,1,Not significant
AB30,stat,3149501,-0.024489,270.5,287.5,-0.08793336200492233,0.7013340151359311,0.7954937507456491,1,Not significant
AB30,stat,3150501,-0.024179,341,329.5,0.04949327401612067,0.6383798673997694,0.7504036738027124,0.6666666666666667,Not significant
AB30,stat,3151501,-0.023869,367,354,0.0520307027602154,0.7049612400890815,0.7979373242481272,0.6666666666666667,Not significant
AB30,stat,3152501,-0.023559,369.5,358.5,0.04360124544424616,0.7500096840618184,0.8299179276585347,0.6666666666666667,Not significant
AB30,stat,3153501,-0.023249,290.5,298.5,-0.03919276786027622,0.804932447615526,0.8706207207301446,0.6666666666666666,Not significant
AB30,stat,3154501,-0.022939,295.5,285.5,0.0496673848146897,0.7534459796587911,0.8323820738825392,1,Not significant
AB30,stat,3155501,-0.022629,323.5,294,0.1379495571561432,0.08927119323584769,0.3364113618588578,0.3333333333333333,Not significant
AB30,stat,3156501,-0.022319,323,244,0.4046530171310386,0.20768846756181206,0.4003930050838218,0.3333333333333333,Not significant
AB30,stat,3157501,-0.022009,311.5,259,0.2662800653374479,0.059649532252522036,0.3331076626321496,0.3333333333333333,Not significant
AB30,stat,3158501,-0.021699,364.5,299,0.285773330128832,0.14792924791270443,0.36262676723255055,0.22067136191984676,Not significant
AB30,stat,3159501,-0.021389,368.5,292.5,0.3332279946243028,0.11302315462368569,0.3456897333373703,0.3333333333333333,Not significant
AB30,stat,3160501,-0.021079,317,346,-0.12628919749731735,0.41015818001270726,0.5692044675552588,0.3333333333333333,Not significant
AB30,stat,3161501,-0.020769,340,329,0.04744716240246032,0.7160685380648542,0.8060885828501501,1,Not significant
AB30,stat,3162501,-0.020459,339.5,314,0.11264701535310469,0.23891938010300762,0.4247237872708921,0.3333333333333333,Not significant
AB30,stat,3163501,-0.020149,279,304.5,-0.12617710607714486,0.49169497653858474,0.6363342849045648,0.6666666666666666,Not significant
AB30,stat,3164501,-0.019839,292,332,-0.18521487246690763,0.2028687951698426,0.39784314853669583,0.3333333333333333,Not significant
AB30,stat,3165501,-0.019529,297.5,302.5,-0.024045473966650917,0.8773564612580613,0.9193575684459472,1,Not significant
AB30,stat,3166501,-0.019219,299.5,262.5,0.19023858023530066,0.15668181045728177,0.36962656566941426,0.3333333333333333,Not significant
AB30,stat,3167501,-0.018909,262.5,257.5,0.027744990482904245,0.8633350012341845,0.9101663574188653,0.6666666666666667,Not significant
AB30,stat,3168501,-0.018599,343,293.5,0.22484807306276017,0.05753681805087197,0.3319718438197075,0.3333333333333333,Not significant
AB30,stat,3169501,-0.018289,378.5,333.5,0.18260653880114677,0.2719689276865508,0.4512964130783926,0.3333333333333333,Not significant
AB30,stat,3170501,-0.017979,299.5,325,-0.1178837151270312,0.40103044092784584,0.5619353155451936,0.6666666666666666,Not significant
AB30,stat,3171501,-0.017669,264.5,296.5,-0.16476438243197788,0.06680271879862884,0.3333260269052592,0.3333333333333333,Not significant
AB30,stat,3172501,-0.017359,323.5,311.5,0.05453354896850558,0.6758309956099371,0.7793648687337028,1,Not significant
AB30,stat,3173501,-0.017049,239.5,243,-0.02093065786960065,0.9250179982570905,0.9529422401821321,0.6666666666666666,Not significant
